question,A,B,C,D,answer,file
Which of the following steps is NOT part of the remediation process for Python UDF issues in PySpark?,Go to the code environment used by the recipe in Administration.,Ensure that the Spark config used by the recipe is among the Spark configs in the Containerized execution tab of the code environment.,Update the code environment to force a rebuild of the images.,Increase the memory allocation for the Spark executors.,D,../data/dataiku\troubleshooting\errors\WARN_SPARK_UDFS_MAY_BE_BROKEN.md
What happens if you select a SparkSQL recipe or the Spark engine to execute a job on a Databricks dataset?,The workload will be placed in the Databricks cluster.,The workload will be placed wherever the Spark configuration points.,The job will fail to execute.,The job will run twice as fast.,B,../data/dataiku\troubleshooting\errors\WARN_SPARK_WITH_DATABRICKS_DATASET.md
Which type of recipe should you use to leverage Databricks compute resources when working with Databricks datasets?,Python recipe,SparkSQL recipe,SQL recipe,R recipe,C,../data/dataiku\troubleshooting\errors\WARN_SPARK_WITH_DATABRICKS_DATASET.md
Which of the following browsers are supported by DSS for logging in?,Internet Explorer,Edge,Chrome,Safari,C,../data/dataiku\troubleshooting\problems\cannot-login.md
What are the default login credentials for DSS Free Edition?,"login: user, password: user","login: admin, password: admin","login: root, password: root","login: guest, password: guest",B,../data/dataiku\troubleshooting\problems\cannot-login.md
What should you do if you have lost all access to DSS and need to reset the admin password?,Contact Dataiku support,Use the DSS web interface to reset the password,Use command-line access to the server and run specific commands,Reinstall DSS,C,../data/dataiku\troubleshooting\problems\cannot-login.md
What should you do if the 'dss status' command indicates that some processes are not started?,Ignore the issue and try to connect using a browser.,Restart DSS using './bin/dss restart'.,Reinstall DSS completely.,Check for updates and install the latest version.,B,../data/dataiku\troubleshooting\problems\does-not-start.md
"If you receive a 'Server requires authentication' message, what is the likely cause?",The DSS server is down.,You ran the DSS installer or a dssadmin command while DSS was still running.,There is a network connectivity issue.,The server port is already in use.,B,../data/dataiku\troubleshooting\problems\does-not-start.md
What should you check if you cannot connect to DSS from your browser but local connectivity tests are successful?,Reinstall DSS.,Check for firewalls and proxies along the way.,Restart your computer.,Update your browser.,B,../data/dataiku\troubleshooting\problems\does-not-start.md
Which of the following is a common issue that can prevent DSS from starting?,Server port already in use,Incorrect file permissions,Outdated browser,Insufficient disk space,A,../data/dataiku\troubleshooting\problems\index.md
What should you check if you cannot login to DSS and you are using the Dataiku Cloud Trial?,Server port,Local connectivity,Your credentials,WebSocket connection,C,../data/dataiku\troubleshooting\problems\index.md
What is a possible cause for seeing the 'Could not establish WebSocket connection' message in DSS?,Server port already in use,MemoryError,Incorrect credentials,Network issues,D,../data/dataiku\troubleshooting\problems\index.md
What should you do if a job fails due to a source dataset not being ready?,Retry the job immediately.,Check the error message for the name of the dataset having issues and fix the source data.,Restart the Dataiku instance.,Contact Dataiku Support immediately.,B,../data/dataiku\troubleshooting\problems\job-fails.md
What is the purpose of generating a job diagnosis in Dataiku?,To automatically fix the job failure.,To provide detailed information about the job and DSS instance to Dataiku Support.,To delete the failed job.,To restart the job with new parameters.,B,../data/dataiku\troubleshooting\problems\job-fails.md
What is a common cause of the 'MemoryError' during in-memory training of a machine learning model?,Insufficient disk space,Exhaustion of the machine's memory,Incorrect data types in the dataset,Network connectivity issues,B,../data/dataiku\troubleshooting\problems\ml-train-fails.md
Which of the following methods can help reduce memory requirements during machine learning preprocessing?,Increase the dataset sample size,Use dummy-encoding instead of impact-encoding,Switch dummy-encoding to impact-encoding,Enable hashing for text features,C,../data/dataiku\troubleshooting\problems\ml-train-fails.md
What is a common cause of receiving a 'java.lang.NoClassDefFoundError: org/apache/hadoop/' error in Dataiku DSS?,The Hadoop integration has not been run.,The Java version is outdated.,The DSS installation is corrupted.,The dataset is too large.,A,../data/dataiku\troubleshooting\problems\no-class-def-found.md
What should you do if you receive a 'java.lang.NoClassDefFoundError' while performing normal actions and there is no reference to Hadoop in the error message?,Reinstall DSS.,Restart DSS.,Upgrade Hadoop libraries.,Clear the dataset cache.,B,../data/dataiku\troubleshooting\problems\no-class-def-found.md
What should you do if a scenario fails and you cannot find a reason in the error details or log files?,Restart the DSS instance.,Generate a scenario diagnosis and send it to Dataiku Support.,Delete the scenario and create a new one.,Ignore the error and proceed with other tasks.,B,../data/dataiku\troubleshooting\problems\scenario-fails.md
What is the most common issue with scenario failures in Dataiku?,Network connectivity issues.,One of the 'build' or 'train' steps failed.,Insufficient storage space.,User authentication failure.,B,../data/dataiku\troubleshooting\problems\scenario-fails.md
What should you do if the scenario diagnosis Zip file is larger than 15 MB?,Compress the file further using a different tool.,Send the file directly to Dataiku Support via email.,Use a file transfer service like WeTransfer to send the diagnosis.,Split the file into smaller parts and send them separately.,C,../data/dataiku\troubleshooting\problems\scenario-fails.md
What is the primary reason for the error 'The server selected protocol version TLS10 is not accepted by client preferences [TLS12]' when connecting to a dataset?,The database server is down.,The database does not have TLS 1.2 enabled.,The client is using an outdated SQL driver.,The dataset is corrupted.,B,../data/dataiku\troubleshooting\problems\tls-error.md
"As of April 2021, which versions of TLS were disabled by default in OpenJDK?",TLS 1.0 and TLS 1.1,TLS 1.1 and TLS 1.2,TLS 1.2 and TLS 1.3,TLS 1.0 and TLS 1.3,A,../data/dataiku\troubleshooting\problems\tls-error.md
What should a database administrator do to resolve the TLS error mentioned in the context?,Enable TLS 1.2 on the database server host.,Downgrade the Java version on the database server.,Restart the database server.,Update the SQL driver on the client machine.,A,../data/dataiku\troubleshooting\problems\tls-error.md
Which user profile in DSS generally has all rights?,Reader,Data Scientist,Administrator,Developer,B,../data/dataiku\troubleshooting\problems\user-profile-issues.md
What should you do if you receive a 'Your user profile does not allow' error in DSS?,Restart your computer,Switch to a higher user profile,Reinstall DSS,Contact technical support,B,../data/dataiku\troubleshooting\problems\user-profile-issues.md
What is the default user profile if a user has no profile associated with it in DSS?,Administrator,Data Scientist,Reader,Developer,C,../data/dataiku\troubleshooting\problems\user-profile-issues.md
Which of the following is a common cause of Websocket errors in Data Science Studio (DSS)?,Using an outdated browser,Connecting to DSS through a proxy,Insufficient RAM,Incorrect login credentials,B,../data/dataiku\troubleshooting\problems\websockets.md
Which feature of DSS will NOT work if Websockets are not functioning?,Data import from CSV files,Dynamic notifications,SQL query execution,Data visualization,B,../data/dataiku\troubleshooting\problems\websockets.md
Which plugin can be used to transcribe audio files containing speech in Dataiku?,Audio Manipulation,Speech to Text,Text to Speech,Audio Transcription,B,../data/dataiku\unstructured-data\audio\index.md
Is the 'Speech to Text' plugin fully supported by Dataiku?,Yes,No,Partially,Not mentioned,B,../data/dataiku\unstructured-data\audio\index.md
Which of the following tasks can be performed natively in Dataiku's Visual ML?,Image classification and object detection,Image segmentation and feature extraction,Object recognition and image segmentation,Feature extraction and deep learning,A,../data/dataiku\unstructured-data\image\index.md
Which of the following features is available only with the User Isolation Framework (UIF) in Dataiku?,Access control on projects,Per-user credentials on SQL connections,Authentication against LDAP directory,Connecting to secure Hadoop clusters (Kerberos),B,../data/dataiku\user-isolation\capabilities-summary.md
"What is the isolation status of executing regular code (Python, R) locally without UIF?",Isolated,Not isolated,Partially isolated,Depends on the code,B,../data/dataiku\user-isolation\capabilities-summary.md
Which of the following is NOT isolated without UIF?,"Execution of regular code (Python, R) on Kubernetes","Execution of Spark code (Python, R, Scala) on YARN","Execution of Spark code (Python, R, Scala) on Kubernetes",Authentication with Single-Sign-On,B,../data/dataiku\user-isolation\capabilities-summary.md
Which mechanism does DSS use for local code isolation on the DSS host?,Docker,Proxy user,Sudo,Native impersonation,C,../data/dataiku\user-isolation\concepts.md
What is the fundamental layer required for the User Isolation Framework (UIF) to function?,Hadoop impersonation,Local code isolation,Docker containerization,SQL database impersonation,B,../data/dataiku\user-isolation\concepts.md
"In the context of DSS, what does 'impersonation' mean?",Running code in isolated Docker containers,Submitting work to a cluster on behalf of another user,Mapping DSS end-users to UNIX/Hadoop users,Ensuring code in one container cannot access another container,B,../data/dataiku\user-isolation\concepts.md
What is the primary purpose of the User Isolation Framework in Dataiku DSS?,To enhance the performance of data processing tasks.,To provide a user-friendly interface for data analysis.,To guarantee traceability and prevent hostile users from attacking the dssuser.,To simplify the installation process of DSS.,C,../data/dataiku\user-isolation\index.md
Which of the following is NOT a limitation of the default behavior of DSS without User Isolation?,Lack of traceability on Hadoop clusters.,Inability to run code recipes.,Potential for hostile users to run arbitrary code as UNIX dssuser.,Actions performed on external databases use the credentials configured in the database connection.,B,../data/dataiku\user-isolation\index.md
